portfolio,pname,order,slug,title,state,year,place,location,field-notes,print-type,edition,edition-type,image,thumb,image-home,image-biz,width,height,homepage
new-work,New Work,1,dryer-ensign,Dryer,Nebraska,2025,,Ensign,This is a field note.,Pigment Ink,25,Limited,dryer-ensign.jpg,dryer-ensign.jpg,dryer-ensign-home.jpg,dryer-ensign-biz.jpg,1200,1600,N
new-work,New Work,2,granary-gothenburg,Granary,Kansas,2025,,Gothenburg,This is a field note.,Pigment Ink,25,Limited,granary-gothenburg.jpg,granary-gothenburg.jpg,granary-gothenburg-home.jpg,granary-gothenburg-biz.jpg,1200,1600,N
new-work,New Work,3,power-lines-rozel,Power Lines,Kansas,2025,,Rozel,This is a field note.,Pigment Ink,25,Limited,power-lines-rozel.jpg,power-lines-rozel.jpg,power-lines-rozel-home.jpg,power-lines-rozel-biz.jpg,1280,1600,N
cloud-light,Cloud Light,7,clearing-storm-red-hawk-vineyard,Clearing Storm,California,2010,Pope Valley,Red Hawk Vineyard,This is a field note.,Pigment Ink,*,Open,clearing-storm-red-hawk-vineyard.jpg,clearing-storm-red-hawk-vineyard.jpg,clearing-storm-red-hawk-vineyard-home.jpg,clearing-storm-red-hawk-vineyard-biz.jpg,1600,1600,N
cloud-light,Cloud Light,9,cloud-maze-salinas-valley,Cloud Maze,California,2010,Salinas Valley,Soledad,This is a field note.,Pigment Ink,*,Open,cloud-maze-salinas-valley.jpg,cloud-maze-salinas-valley.jpg,cloud-maze-salinas-valley-home.jpg,cloud-maze-salinas-valley-biz.jpg,1600,1600,N
cloud-light,Cloud Light,10,dream-clouds-zion-national-park,Dream Clouds,Utah,2014,Colorado Plateau,Wilderness,This is a field note.,Pigment Ink,*,Open,dream-clouds-zion-national-park.jpg,dream-clouds-zion-national-park.jpg,dream-clouds-zion-national-park-home.jpg,dream-clouds-zion-national-park-biz.jpg,1600,1600,N
cloud-light,Cloud Light,3,dream-clouds-ii-zion-national-park,Dream Clouds II,Utah,2014,Zion National Park,East Side,This is a field note.,Pigment Ink,*,Open,dream-clouds-ii-zion-national-park.jpg,dream-clouds-ii-zion-national-park.jpg,dream-clouds-ii-zion-national-park-home.jpg,dream-clouds-ii-zion-national-park-biz.jpg,1600,1600,N
cloud-light,Cloud Light,1,ending-storm-steens-wilderness,Ending Storm,Oregon,2013,Steen's Junction,Along a Dirt Road,This is a field note.,Pigment Ink,*,Open,ending-storm-steens-wilderness.jpg,ending-storm-steens-wilderness.jpg,ending-storm-steens-wilderness-home.jpg,ending-storm-steens-wilderness-biz.jpg,1600,1600,N
cloud-light,Cloud Light,8,fiery-skies-cortena,Fiery Skies,California,2016,Cortena,Roadside,This is a field note.,Pigment Ink,*,Open,fiery-skies-cortena.jpg,fiery-skies-cortena.jpg,fiery-skies-cortena-home.jpg,fiery-skies-cortena-biz.jpg,1600,1600,N
cloud-light,Cloud Light,4,sunset-moon-clouds-paulina-peak,"Sunset, Moon, Clouds",Oregon,2014,Newberry Volcano Monument,Paulina Peak,This is a field note.,Pigment Ink,*,Open,sunset-moon-clouds-paulina-peak.jpg,sunset-moon-clouds-paulina-peak.jpg,sunset-moon-clouds-paulina-peak-home.jpg,sunset-moon-clouds-paulina-peak-biz.jpg,1600,1600,N
cloud-light,Cloud Light,2,clouds-kanab,Swirls,Utah,2014,Kanab,Along Hwy 89,This is a field note.,Pigment Ink,*,Open,clouds-kanab.jpg,clouds-kanab.jpg,clouds-kanab-home.jpg,clouds-kanab-biz.jpg,1600,1600,N
cloud-light,Cloud Light,5,swooping-cloud-and-bat-zion-national-park,Swooping Cloud & Bat,Utah,2015,Zion National Park,Pine Creek,This is a field note.,Pigment Ink,*,Open,swooping-cloud-and-bat-zion-national-park.jpg,swooping-cloud-and-bat-zion-national-park.jpg,swooping-cloud-and-bat-zion-national-park-home.jpg,swooping-cloud-and-bat-zion-national-park-biz.jpg,1600,1600,N
cloud-light,Cloud Light,11,the-goddess-wire-mesa,The Goddess,Utah,2014,Rockville,Wire Mesa,This is a field note.,Pigment Ink,*,Open,the-goddess-wire-mesa.jpg,the-goddess-wire-mesa.jpg,the-goddess-wire-mesa-home.jpg,the-goddess-wire-mesa-biz.jpg,1600,1600,N
cloud-light,Cloud Light,6,clouds-point-lobos-sunset,Winter Sunset,California,2011,Carmel,Point Lobos State Park,This is a field note.,Pigment Ink,*,Open,clouds-point-lobos-sunset.jpg,clouds-point-lobos-sunset.jpg,clouds-point-lobos-sunset-home.jpg,clouds-point-lobos-sunset-biz.jpg,1600,1600,N
